lastName,count
SUDOŁ,2678
MĄCZKA,2676
POTOCKI,2675
LOREK,2673
SMOLAREK,2669
KAROLAK,2665
SOLECKI,2665
NOWIŃSKI,2664
PIERZCHAŁA,2662
KOSTKA,2660
KOCHAŃSKI,2657
SUROWIEC,2648
GABRYŚ,2647
KALIŃSKI,2646
JAMRÓZ,2643
WASZKIEWICZ,2643
BALICKI,2642
SZCZYGIELSKI,2642
PŁATEK,2637
AMBROZIAK,2635
ŁACH,2632
PISKORZ,2632
PUCHAŁA,2630
BILIŃSKI,2628
BURDA,2625
PIECHOCKI,2624
CZARNOTA,2623
DZIKOWSKI,2622
PASZEK,2621
TRACZYK,2618
WÓJCIAK,2609
SALA,2604
ŚWITAŁA,2604
WAGNER,2603
KOLASIŃSKI,2600
WŁOCH,2599
WDOWIAK,2597
BIEL,2591
PASEK,2588
PIĘTA,2588
ZBOROWSKI,2587
SZYMANIAK,2584
BERNAT,2583
OKOŃ,2583
BUREK,2582
KRAUZE,2581
BARON,2576
MĄDRY,2576
KEMPA,2575
WALCZYK,2570
BŁOŃSKI,2569
DOLATA,2566
STENCEL,2566
ZAWISTOWSKI,2566
OSUCH,2563
GRELA,2561
SKWAREK,2559
JAROSZEWSKI,2558
ADAMCZEWSKI,2553
OLEŚ,2553
BATOR,2552
DZIURA,2551
WACHOWIAK,2549
STACHOWSKI,2548
MODRZEJEWSKI,2545
JEDYNAK,2542
FIGURA,2541
OGÓREK,2541
FRANCZAK,2539
WEBER,2538
CICHOSZ,2537
KAPICA,2537
ZARĘBSKI,2536
FERENC,2532
GAZDA,2532
MULARCZYK,2530
WĄSOWSKI,2529
CIOŁEK,2527
MIŚ,2527
MIECZKOWSKI,2523
MROWIEC,2523
GÓRALCZYK,2521
MOROZ,2521
DOLIŃSKI,2517
STĘPNIEWSKI,2513
WALIGÓRA,2513
ŁOŚ,2512
OZGA,2511
KOŚCIELNIAK,2510
GROBELNY,2509
KOZYRA,2509
PARADOWSKI,2508
PÓŁTORAK,2508
MAJDA,2505
ĆWIK,2504
DUTKIEWICZ,2504
GRABSKI,2504
LACHOWICZ,2503
BROŻEK,2501
KOZERA,2501
BOGDAN,2494
